Neighbourhood Name,NeighbourhoodNumber,Number,income2019,Population,Distress Calls,DCoverPopulation,PopPe,ARHr2022,CrimeRate,Common Language,NonIm,Im,1atotalPop,1a0to4,1a5to9,1a10to14,1a15to19,1a20to24,1a25to29,1a30to34,1a35to39,1a40to44,1a45to49,1a50to54,1a55to59,1a60to64,1a65to69,1a70to74,1a75to79,1a80to84,1a85to89,1a90to94,1a95to99,1a100to,2averageAge,2averageAgeM,4avgIncome,4tax,4market,4employment,4gov,4ei,4covid,4avgIncomeM,4taxM,4marketM,4employmentM,4govM,4eiM,4covidM,8owner,8renter,11a,11aM,12a,12aM,ASSAULT_RATE_2014,ASSAULT_RATE_2015,ASSAULT_RATE_2016,ASSAULT_RATE_2017,ASSAULT_RATE_2018,ASSAULT_RATE_2019,ASSAULT_RATE_2020,ASSAULT_RATE_2021,ASSAULT_RATE_2022,ASSAULT_RATE_2023,AUTOTHEFT_RATE_2014,AUTOTHEFT_RATE_2015,AUTOTHEFT_RATE_2016,AUTOTHEFT_RATE_2017,AUTOTHEFT_RATE_2018,AUTOTHEFT_RATE_2019,AUTOTHEFT_RATE_2020,AUTOTHEFT_RATE_2021,AUTOTHEFT_RATE_2022,AUTOTHEFT_RATE_2023,BIKETHEFT_RATE_2014,BIKETHEFT_RATE_2015,BIKETHEFT_RATE_2016,BIKETHEFT_RATE_2017,BIKETHEFT_RATE_2018,BIKETHEFT_RATE_2019,BIKETHEFT_RATE_2020,BIKETHEFT_RATE_2021,BIKETHEFT_RATE_2022,BIKETHEFT_RATE_2023,BREAKENTER_RATE_2014,BREAKENTER_RATE_2015,BREAKENTER_RATE_2016,BREAKENTER_RATE_2017,BREAKENTER_RATE_2018,BREAKENTER_RATE_2019,BREAKENTER_RATE_2020,BREAKENTER_RATE_2021,BREAKENTER_RATE_2022,BREAKENTER_RATE_2023,HOMICIDE_RATE_2014,HOMICIDE_RATE_2015,HOMICIDE_RATE_2016,HOMICIDE_RATE_2017,HOMICIDE_RATE_2018,HOMICIDE_RATE_2019,HOMICIDE_RATE_2020,HOMICIDE_RATE_2021,HOMICIDE_RATE_2022,HOMICIDE_RATE_2023,ROBBERY_RATE_2014,ROBBERY_RATE_2015,ROBBERY_RATE_2016,ROBBERY_RATE_2017,ROBBERY_RATE_2018,ROBBERY_RATE_2019,ROBBERY_RATE_2020,ROBBERY_RATE_2021,ROBBERY_RATE_2022,ROBBERY_RATE_2023,SHOOTING_RATE_2014,SHOOTING_RATE_2015,SHOOTING_RATE_2016,SHOOTING_RATE_2017,SHOOTING_RATE_2018,SHOOTING_RATE_2019,SHOOTING_RATE_2020,SHOOTING_RATE_2021,SHOOTING_RATE_2022,SHOOTING_RATE_2023,THEFTFROMMV_RATE_2014,THEFTFROMMV_RATE_2015,THEFTFROMMV_RATE_2016,THEFTFROMMV_RATE_2017,THEFTFROMMV_RATE_2018,THEFTFROMMV_RATE_2019,THEFTFROMMV_RATE_2020,THEFTFROMMV_RATE_2021,THEFTFROMMV_RATE_2022,THEFTFROMMV_RATE_2023,THEFTOVER_RATE_2014,THEFTOVER_RATE_2015,THEFTOVER_RATE_2016,THEFTOVER_RATE_2017,THEFTOVER_RATE_2018,THEFTOVER_RATE_2019,THEFTOVER_RATE_2020,THEFTOVER_RATE_2021,THEFTOVER_RATE_2022,THEFTOVER_RATE_2023,OVERDOSE_2014,OVERDOSE_2015,OVERDOSE_2016,OVERDOSE_2017,OVERDOSE_2018,OVERDOSE_2019,OVERDOSE_2020,OVERDOSE_2021,OVERDOSE_2022,OVERDOSE_2023,SUICIDE_2014,SUICIDE_2015,SUICIDE_2016,SUICIDE_2017,SUICIDE_2018,SUICIDE_2019,SUICIDE_2020,SUICIDE_2021,SUICIDE_2022,SUICIDE_2023,CRISIS_2014,CRISIS_2015,CRISIS_2016,CRISIS_2017,CRISIS_2018,CRISIS_2019,CRISIS_2020,CRISIS_2021,CRISIS_2022,CRISIS_2023,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019,POPULATION_2020,POPULATION_2021,POPULATION_2022,POPULATION_2023
Bridle Path-Sunnybrook-York Mills,041,41,72500,8940,758,0.084787472,1.135952171,374.6037845,1.499847361,Mandarin,0.61409396,0.386465324,8945,275,455,585,650,530,425,360,250,525,535,695,755,705,670,610,485,195,130,75,35,0,45.1,49.2,237600,141200,247200,206400,7540,6900,8760,72000,60000,71500,60000,4600,5480,8000,0.884848485,0.115151515,3820000,3000000,3700,3080,185.4883,335.3889,214.2016,272.0804,336.6317,448.9674,462.5984,429.4778,345.7881,448.3048401,65.46645,129.828,117.8109,31.39389,91.80863,109.7476,157.4803,380.6735,380.6735,747.1747437,32.73322,64.91399,64.26047,62.78778,30.60288,59.86232,108.2677,9.760859,9.760859,74.71747589,392.7987,389.4839,524.7938,701.1302,540.6508,528.7838,295.2756,185.4563,432.2351,896.6096802,0,0,0,0,0,0,0,0,0,0,21.82215,21.42016,10.46463,10.20096,129.7017,78.74016,48.80429,28.81568,10.819,28.01905251,0,0,0,10.46463,20.40192,29.93116,29.52756,0,9.605226,0,294.599,173.104,128.5209,125.5756,193.8182,249.4263,383.8583,117.1303,259.3411,242.8317871,87.2886,32.45699,53.55039,52.32315,40.80384,29.93116,59.05512,9.760859,57.63135,74.71747589,65.46644682,54.09499137,21.42015686,10.46463013,30.60287753,19.95410563,19.68503911,29.28257613,28.81567638,46.69842084,152.7550426,216.3799655,160.6511765,240.6864929,367.2345303,389.1050598,344.4881845,253.7823264,326.5776656,205.4730517,469.1762022,411.1219344,428.4031372,491.837616,479.4450813,458.9444295,669.2913299,488.0429355,605.1292039,317.5492617,9165,9243,9337,9556,9803,10023,10160,10245,10411,10707
Banbury-Don Mills,042,42,45200,27155,1703,0.062714049,1.099793675,418.1345274,1.540471364,Mandarin,0.465561694,0.534438306,27140,990,1090,1390,1330,1270,1475,1595,1665,1605,1690,2140,2120,1865,1630,1630,1365,1025,705,450,90,20,46.7,48.4,77800,59000,75700,73300,10210,6880,9900,46400,41600,42800,44000,8800,5640,10000,0.597216537,0.402783463,1518000,1000000,1682,1540,217.2575,282.1691,299.3472,378.2656,255.7368,254.522,268.4924,290.2419,352.2866,425.1618652,68.7982,75.9686,25.24615,56.56308,96.76527,145.9259,167.8078,113.4279,113.4279,483.1384583,10.86287,43.41063,18.03296,35.35193,44.92673,6.787253,20.13693,40.03336,40.03336,45.09292221,235.3623,314.7271,205.5758,226.2523,293.7517,274.8838,137.6024,76.73061,154.7427,318.8713989,0,0,0,0,0,0,0,0,0,3.220923185,43.4515,86.55823,38.88712,27.64722,44.11715,23.49309,10.00834,65.84795,104.909,77.30215454,0,0,7.213186,3.535193,0,6.787253,3.356155,6.672227,9.877193,12.88369274,267.9509,148.3196,180.3296,208.5764,221.1778,196.8304,164.4516,136.7807,243.6374,209.3600006,36.20958,50.64573,39.67252,17.67596,27.64722,54.29803,23.49309,26.68891,39.50877,45.09292221,21.72574921,39.79307791,43.27911304,45.95750584,76.02985979,23.75538697,40.27386017,53.37781743,19.75438775,41.87200188,105.0077878,159.1723116,220.0021579,282.8154206,435.4437424,264.7028833,161.0954407,210.1751561,197.5438775,219.022779,249.8461159,300.2568606,385.9054246,321.7025409,328.3107582,271.4901367,302.0539512,306.9224502,428.0117346,389.7317098,27617,27643,27727,28287,28936,29467,29796,29975,30373,31047
Victoria Village,043,43,30600,17365,1360,0.078318457,1.04767585,720.5157376,1.182081948,Arabic,0.437949899,0.562050101,17375,880,905,925,895,1135,1030,1205,1125,1230,1105,1220,1260,1105,935,860,575,560,265,135,25,0,42.4,42.4,44280,38240,40480,42040,12240,6780,10140,34000,32000,28400,32400,11700,5680,10000,0.412371134,0.587628866,841000,800000,1237,1270,584.5962,720.8946,713.9619,420.0975,595.9279,666.339,620.2056,528.5527,666.3416,785.2839966,119.1895,68.11603,118.9937,78.41819,60.69635,81.92692,92.48681,212.5109,212.5109,290.4475098,17.02707,17.02901,5.666365,5.601299,16.55355,5.461795,5.440401,16.34699,16.34699,10.75731468,221.3519,261.1114,124.66,179.2416,198.6426,322.2459,184.9736,119.8779,205.8616,139.8450928,0,0,11,6,0,5.461795,0,0,0,0,39.72984,67.99638,84.01949,71.73206,71.00333,59.84441,49.04098,54.17411,85.14503,86.05851746,17.02707,0,39.66455,16.8039,5.51785,38.23256,38.0828,16.34699,16.25224,21.51462936,210.0006,215.7007,186.99,207.2481,237.2676,207.5482,223.0564,348.7358,200.4442,295.8261719,28.37845,34.05801,22.66546,28.0065,16.55355,21.84718,27.202,27.24499,16.25224,59.16523361,28.37845589,62.4396891,39.66455078,44.81039713,77.24990731,38.23256496,70.72520312,59.93896988,86.67858286,91.43717769,164.5950442,289.493104,266.3191267,224.0519857,303.4817787,262.1661597,244.8180108,316.0418412,173.3571657,290.4475056,255.406103,459.7831652,509.9727958,420.0974731,408.3209386,393.2492396,505.9572224,561.246718,455.06256,462.5645459,17619,17617,17648,17853,18123,18309,18381,18352,18459,18592
Flemingdon Park,044,44,25600,22530,1486,0.065956502,1.02388095,672.5587411,0.975719821,Urdu,0.320017754,0.67976032,22520,1390,1375,1390,1380,1530,2070,1795,1580,1510,1390,1385,1295,1200,920,865,635,480,215,115,0,0,38.2,36,38040,33720,33720,34760,12880,5925,10370,30400,28800,22800,25000,12400,5640,10000,0.434411226,0.565588774,518500,500000,1364,1340,578.2643,663.5994,703.2598,556.6513,641.7762,658.5744,567.6443,640.0276,616.5122,711.0921631,35.31385,30.96797,22.11509,52.59698,34.6906,38.73967,77.40604,73.51669,73.51669,166.063446,57.38501,44.23996,17.69207,21.91541,8.67265,30.13085,17.20134,21.62256,21.62256,25.54822159,220.7116,88.47991,61.92225,52.59698,60.70856,68.87052,51.60403,43.24511,94.84803,102.1928864,4.414231482,0,0,0,0,0,0,4.324512,0,0,119.1842,110.5754,87.66163,69.3812,55.9573,21.50168,17.29805,56.04656,88.47991,55.35448074,26.48539,22.11998,35.38414,21.91541,26.01795,38.73967,60.2047,34.59609,4.311274,17.03214836,494.3939,70.78394,207.8818,70.1293,108.4081,73.17493,124.7097,151.3579,482.8627,208.6438141,39.72808,13.27199,13.26905,17.53233,4.336325,12.91322,12.90101,8.649023,4.311274,21.29018593,57.38501117,61.93594075,53.07620872,30.68156942,39.02693011,38.7396707,60.20469712,30.27157799,25.86764483,42.58036905,220.7115814,336.2236784,199.0357827,232.3033113,186.4619994,228.1336163,279.521808,263.7951796,327.6568345,366.1911738,304.5819823,269.8637418,296.3421654,324.3480195,346.9060455,292.6997342,490.238248,492.9942701,405.259769,353.4170631,22654,22604,22609,22815,23061,23232,23254,23124,23195,23485
Pleasant View,046,46,31000,15220,675,0.04434954,1.006848648,246.8095353,1.111149993,Mandarin,0.331143233,0.668856767,15220,420,595,790,795,1090,1140,955,1005,810,945,1170,1195,955,825,935,595,550,285,115,40,10,44.6,45.2,45400,38960,39880,42480,11240,6150,10270,34400,32000,25400,31800,10300,5600,10000,0.727272727,0.272727273,917000,900000,1584,1600,193.9511,256.6923,319.5674,268.4073,235.3083,263.7415,239.9232,156.8344,192.6318,310.7817383,66.67071,36.67033,43.01868,103.7028,78.4361,143.859,167.9463,84.44927,84.44927,268.9457397,6.060973,0,12.29105,12.20033,6.033546,17.98238,35.98848,48.25673,48.25673,65.74228668,109.0975,110.011,196.6568,67.10181,199.107,71.92951,113.9635,102.5455,90.29617,101.6017227,0,0,0,0,0,0,0,0,0,0,36.36584,79.89184,30.50082,54.30192,83.91776,59.9808,48.25673,54.1777,97.78756,83.6720047,0,6.111722,6.145526,0,6.033546,0,0,0,0,0,200.0121,281.1392,79.89184,158.6043,174.9729,275.7298,281.9098,440.3426,198.6516,215.1565857,12.12195,30.55861,18.43658,30.50082,30.16773,23.9765,35.98848,36.19254,24.07898,29.88285828,36.36583901,0,49.16420805,0,24.13418657,41.95888241,53.98272401,30.16045496,12.03948974,23.90628756,66.67070486,110.0109951,67.60078606,85.40230908,187.039946,173.8296557,173.9443329,156.8343658,180.5923462,95.62515025,139.4023829,152.7930487,221.2389362,164.7044532,229.2747725,317.6886811,425.8637116,355.8933685,313.0267333,239.0628756,16499,16362,16272,16393,16574,16683,16672,16578,16612,16732
Don Valley Village,047,47,32000,26775,1377,0.051428571,1.04940451,502.0805392,0.923843233,Mandarin,0.294546134,0.705640643,26775,1210,1280,1340,1315,1805,2175,1895,1905,1940,1835,1785,1785,1555,1280,1255,950,805,435,170,45,10,42,41.2,46280,39760,41760,43000,10630,6175,10370,34800,32400,28600,31000,9000,5480,10000,0.506595017,0.493404983,959000,850000,1626,1580,404.1862,495.2822,487.9812,456.7188,432.2463,517.433,342.4776,415.5844,402.3522,564.1652832,180.4403,101.2256,101.2109,103.4753,91.36913,72.9268,124.5373,117.7489,117.7489,547.1723633,25.26164,25.30639,7.229351,14.27246,31.62778,13.89082,20.75622,58.87446,58.87446,23.79010391,288.7044,169.9143,238.5686,114.1797,203.8234,118.072,103.7811,107.3593,106.6061,152.9363708,7.217610971,0,0,0,0,0,6.918739,0,0,6.797172546,166.0051,90.36689,67.79419,126.5111,118.072,79.56551,62.33766,99.72832,119.3015,101.9575882,3.608805,7.230397,3.614676,0,7.028395,10.41811,0,6.926407,6.877816,16.99293137,277.878,368.7502,195.1925,128.4521,175.7099,239.6166,190.2653,218.1818,264.7959,353.4529724,28.87044,21.69119,28.9174,35.68115,38.65617,48.61786,20.75622,38.09524,37.82799,47.58020782,50.52327729,18.07599144,36.14675564,39.24926758,59.74135534,38.19975045,20.75621819,51.94805145,30.95016949,27.18868835,126.3081932,122.9167418,173.5044271,132.0202637,168.6814739,177.1079339,217.940291,183.5497818,268.2348023,265.0897114,263.442803,245.8334836,231.3392361,328.2666016,302.2209741,263.9255486,221.3996607,266.6666641,285.4293409,336.4600183,27710,27661,27665,28026,28456,28796,28907,28875,29079,29424
Hillcrest Village,048,48,31200,16345,898,0.054940349,1.006136063,408.4373077,1.022815478,Mandarin,0.287549709,0.712756195,16345,455,640,845,780,945,1035,870,880,735,1035,1205,1085,1135,1145,1180,960,585,485,275,60,10,47.5,49.6,49280,41000,45800,46080,10960,6680,9970,34400,31800,30000,33200,10200,5480,9000,0.724353955,0.275646045,1006000,900000,1228,695,365.9086,330.635,236.0935,296.6682,394.7665,380.4196,279.6264,247.4691,229.3963,376.1894226,61.92299,57.00604,126.6843,102.6928,140.988,151.049,128.6282,224.9719,224.9719,403.8504028,22.51745,22.80242,17.27514,39.9361,45.11617,50.34965,0,22.49719,22.49719,11.06439495,197.0277,273.629,195.7849,176.8599,236.8599,195.8042,100.6655,112.4859,173.446,221.2879028,0,0,0,0,0,5.594406,0,5.624297,0,0,95.69917,86.37568,154.0392,95.87187,95.1049,78.29539,50.61867,179.041,39.90423,71.91856384,5.629363,0,0,5.705157,5.639522,11.18881,0,5.624297,5.595032,5.532197475,151.9928,262.2278,120.9259,114.1031,208.6623,257.3427,167.7758,314.9606,151.0659,232.3522949,33.77618,28.50302,11.51676,22.82063,45.11617,33.56643,44.74023,22.49719,27.97516,44.2575798,67.55235126,28.50302072,11.5167572,39.93610148,56.39521571,72.72727383,22.37011474,16.87289116,123.0906983,55.32197391,168.8808781,176.7187284,155.4762222,273.847553,203.0227766,257.3426613,156.5908032,123.7345352,268.5615235,248.9488826,292.7268554,279.329603,293.6773086,171.1547206,231.2203844,206.9930101,257.2563196,253.0933675,363.677063,376.1894226,17764,17542,17366,17528,17732,17875,17881,17780,17873,18076
Bayview Woods-Steeles,049,49,36400,12085,496,0.041042615,1.023456384,310.5130859,1.116608683,Mandarin,0.368638808,0.631361192,12105,360,435,520,635,755,805,680,625,640,590,880,865,890,805,885,665,570,280,180,40,0,47.5,50,56350,46120,51550,50360,11370,6560,10460,38000,34400,29800,31600,11100,5520,10500,0.557308097,0.442691903,1388000,1250000,1940,1940,264.8305,328.4449,284.8126,236.0646,322.9683,356.4268,244.4263,200.4603,295.7267,439.8504639,121.0654,53.46777,138.5575,159.9147,52.57624,155.9367,118.5097,200.4603,200.4603,249.2485962,15.13317,22.91476,7.697637,15.22997,7.510891,14.85112,22.22058,7.424456,7.424456,21.99252319,166.4649,259.7006,254.022,296.9845,217.8158,155.9367,244.4263,74.24456,73.93169,197.9327087,0,0,0,0,0,7.425559,0,0,0,0,52.9661,,30.45995,45.06535,44.55335,14.81372,14.84891,14.78634,7.638252,51.31588745,0,0,7.697637,0,22.53267,22.27668,7.406859,0,0,0,174.0315,106.9355,115.4646,45.68992,217.8158,163.3623,251.8332,200.4603,170.0429,241.9177551,30.26634,7.638252,7.697637,22.84496,15.02178,14.85112,14.81372,14.84891,29.57268,7.330841064,22.69975761,22.9147573,30.79054714,15.22997259,15.02178103,7.425558536,14.81371793,14.84891199,22.17950592,14.66168213,75.66585869,129.8502914,107.766915,114.2247945,120.1742483,126.2344951,148.1371793,155.9135759,170.0428787,205.2635498,242.1307478,175.679806,207.8361932,144.6847396,187.7722629,178.2134049,259.2400637,304.4026958,288.333577,263.9102783,13216,13092,12991,13132,13314,13467,13501,13469,13526,13641
Newtonbrook East,050,50,29600,15345,840,0.054740958,1.051603337,525.7623554,0.997796307,Iranian Persian,0.272727273,0.726621049,15335,515,540,515,655,1075,1430,1380,1085,895,950,1020,1105,1055,910,825,540,405,260,135,40,0,43.9,42.4,52150,42920,49920,49800,9950,7360,10630,34000,31800,30400,32000,8100,5520,10900,0.620437956,0.379562044,1412000,1500000,1842,1740,466.8878,470.7631,585.8888,497.7264,530.6959,504.8105,354.1703,501.1497,473.1861,501.7879944,92.14891,49.55401,49.86288,67.59248,84.4289,166.2905,230.2107,253.5228,253.5228,432.5758362,55.28935,49.55401,56.09574,55.30294,36.18382,41.57263,5.902839,47.16703,47.16703,46.14142227,221.1574,309.7126,261.7801,344.1072,385.9607,314.7642,224.3079,159.1887,221.9886,207.6363983,0,6,6,0,6.030636,0,0,0,0,5.767677784,49.14609,62.3286,116.7506,42.21445,59.38948,88.54259,53.06291,52.57624,49.55401,115.3535614,0,0,12.46572,0,6.030636,0,5.902839,5.895879,23.36722,5.767677784,135.1517,204.4103,162.0544,239.6461,205.0416,344.459,271.5306,200.4599,128.5197,248.0101471,6.143261,37.16551,31.1643,55.30294,24.12254,53.45053,59.02839,47.16703,52.57624,86.51516724,67.57586831,43.35976129,18.69857853,43.01339608,24.12254156,35.63368566,47.22271321,88.43818036,35.0508242,34.60606858,233.4439087,198.2160516,193.2186448,122.8954174,138.704614,178.1684283,230.2107269,188.6681181,216.1467492,149.9596305,399.3119491,390.2378516,274.2458184,423.98919,199.0109679,207.8631664,236.1135661,271.2104198,221.9885533,259.5455143,16278,16144,16044,16274,16582,16838,16941,16961,17118,17338
Bayview Village,052,52,40400,22330,1621,0.072592924,1.222952885,505.8551741,1.342926609,Mandarin,0.324675325,0.675100761,22340,855,815,725,785,1440,2325,2545,2020,1555,1380,1315,1270,1320,1170,1070,665,520,325,155,85,0,42.2,39.2,59350,46960,56850,55800,8720,6510,10520,43200,38800,40800,42800,5960,5680,10500,0.595408895,0.404591105,1138000,750000,1990,1940,404.3061,500.8742,356.3922,266.5127,267.1493,293.8584,288.3269,288.6766,470.0072,533.3852539,121.7789,66.15319,63.96783,93.27944,38.77973,159.5231,115.3307,166.7005,166.7005,373.7590027,38.96926,51.97751,114.2283,53.30254,64.63289,37.78179,189.472,44.72454,44.72454,66.18649292,228.9444,160.6577,150.7813,177.6751,215.4429,155.3251,123.5687,117.9101,119.4933,256.9593201,0,0,0,0,4.308859,0,4.118956,0,0,0,14.61347,50.26044,39.9769,25.85315,62.96965,74.1412,16.26347,35.848,23.62614,35.03990555,0,4.725228,0,0,4.308859,4.197977,4.118956,12.1976,19.91556,7.786645889,414.0484,108.6802,191.9035,133.2563,129.2658,218.2948,243.0184,182.964,338.5645,447.7321472,38.96926,42.52705,22.84566,31.09315,30.16201,50.37572,49.42746,36.5928,23.89867,70.0798111,29.22694636,37.8018246,27.41478553,26.65126953,21.54429528,29.38583679,37.07059806,12.19760175,27.88178101,11.67996906,194.8463091,236.2614038,169.0578441,270.9545736,241.2961072,247.6806244,280.0889631,321.2035127,227.0373596,233.5993813,589.4100849,420.5452987,507.1735323,506.3741211,534.298523,499.5592254,420.1334447,361.8621852,310.6827027,377.6523331,20529,21163,21886,22513,23208,23821,24278,24595,25106,25685
Henry Farm,053,53,31600,19840,1177,0.059324597,1.505051974,489.8847864,1.017724633,Mandarin,0.240927419,0.758820565,19860,1070,1010,795,785,1575,2975,2920,1975,1300,965,915,910,790,635,490,360,240,95,45,10,0,35.7,32.8,49360,41680,46640,47640,8790,6640,10410,38400,35600,35600,38800,4960,5480,10000,0.392479436,0.607520564,733000,600000,1834,1860,423.266,407.4769,447.3587,426.3901,412.3264,442.023,427.6445,469.3055,435.4532,469.6690369,95.57619,77.61465,61.28202,86.43042,86.80556,118.2155,103.2245,156.4352,156.4352,294.0918274,27.30748,12.93577,6.128202,17.28609,5.425347,30.83882,58.98545,90.06873,90.06873,35.11544037,259.4211,168.1651,73.53842,161.3368,119.3576,200.4523,162.21,113.771,163.2949,109.7357559,0,6,0,6,5.425347,0,0,0,0,4.389430046,47.78809,36.76921,69.14434,54.25347,35.97862,29.49273,37.92368,54.43164,38.80732,57.06259155,0,25.87155,0,5.762028,10.85069,20.55921,14.74636,0,9.07194,0,395.9585,239.3118,269.6409,132.5266,130.2083,431.7434,196.6182,474.046,263.0863,390.6593018,27.30748,19.40366,6.128202,51.85825,27.12674,66.81744,29.49273,28.44276,45.3597,43.89430237,47.78809234,38.80732073,55.15381653,28.81014025,16.27604153,15.4194084,122.8863508,213.320687,86.18343703,79.00974453,184.325499,161.6971697,128.6922386,247.7672062,200.7378456,210.7319148,221.1954314,327.0917201,322.0538963,223.8609428,232.1135914,265.1833583,324.7946974,265.0532903,108.5069436,185.0329008,442.3908628,611.5193029,453.597037,223.8609428,14648,15461,16318,17355,18432,19456,20344,21095,22046,22782
O`Connor Parkview,054,54,35200,18405,1977,0.107416463,1.038968594,849.2139716,0.925949485,"Tagalog (Pilipino, Filipino)",0.574843792,0.424884542,18390,935,1020,950,1070,1110,1180,1195,1235,1385,1080,1410,1420,1320,1005,775,515,380,245,135,25,0,41.5,42,53550,44640,49960,51350,12210,6680,10380,37600,34800,32000,35200,11100,5640,10000,0.457104558,0.542895442,1154000,1000000,1352,1240,955.8322,845.8992,665.5138,684.6118,680.5854,725.3728,577.3029,583.8453,808.7752,668.3081055,115.5402,63.04839,36.68186,51.86453,97.22649,142.031,106.3453,218.3074,218.3074,306.5172729,47.26643,57.79436,31.4416,46.67808,46.05465,25.36269,30.38436,35.53841,35.53841,40.19898605,278.3467,157.621,178.1691,202.2717,133.0468,284.0621,126.6015,192.9228,247.6874,221.0944214,5.251825009,0,0,5,0,0,0,5.076915,0,5.024873257,152.3029,146.7274,93.35616,35.82029,60.87045,96.21715,60.92299,40.43876,68.30242,15.07461929,26.25912,15.7621,5.240266,10.37291,25.58592,20.29015,5.06406,10.15383,15.16454,0,325.6132,462.3549,440.1824,160.78,399.1403,253.6269,394.9967,329.9995,313.4004,190.9451752,57.77008,31.52419,31.4416,10.37291,30.7031,35.50776,50.6406,10.15383,45.49361,30.14923859,31.51095011,78.81048736,104.8053219,46.67807839,117.6952175,81.16059331,60.76872173,76.15373164,40.43876164,65.32334866,220.5766508,320.4959819,272.4938369,316.3736424,394.0231195,497.108634,303.8436086,304.6149266,384.1682356,457.2634406,572.448927,546.419379,544.9876737,435.662065,731.7572219,598.5593757,744.4168411,847.8448789,652.0750315,432.1390757,19041,19033,19083,19281,19542,19714,19747,19697,19783,19901
Thorncliffe Park,055,55,24200,20400,1110,0.054411765,1.06974413,590.2606985,1.1129879,Urdu,0.314705882,0.685294118,20385,1585,1770,1615,1275,1245,1350,1745,1715,1240,1455,1165,1050,885,750,555,425,245,225,70,20,0,35.1,34,37680,33640,33000,33480,13800,6080,11600,29400,28200,19400,20400,13200,5480,12000,0.140127389,0.859872611,585000,500000,1446,1370,416.1684,500.354,413.761,459.4955,422.1324,544.0648,439.1665,530.9814,514.2422,568.6867065,62.18608,56.64385,23.245,41.35459,59.00776,67.44604,89.62581,71.99748,71.99748,244.3575592,47.83545,23.6016,69.73501,45.94955,13.61718,35.97122,67.21936,76.49732,76.49732,44.42864609,162.6405,127.4487,111.576,87.30414,108.9374,125.8993,183.7329,157.4945,236.9986,217.7003784,14.35063382,5,5,18,0,0,8.962582,0,0,0,76.53671,74.38401,41.35459,18.15623,58.45324,22.40645,62.9978,76.01842,47.20321,53.31437683,4.783545,4.720321,4.649001,9.18991,13.61718,35.97122,40.33162,13.49953,13.41502,17.77145958,124.3722,80.24545,139.47,114.8739,136.1718,121.4029,116.5136,152.9946,116.2635,146.6145325,43.0519,28.32193,51.139,41.35459,18.15623,22.48201,17.92516,0,44.71672,35.54291916,28.70126869,9.440642158,37.19200426,18.37981934,27.23435137,26.97841777,22.40645272,40.49858481,17.8866877,35.54291916,133.9392539,184.0925221,125.5230144,142.4435999,154.3279911,193.3453273,215.1019462,193.4932385,219.1119243,159.9431362,363.5494034,354.0240809,283.5890325,284.8871997,267.8044552,206.8345362,282.3213043,566.9801874,304.0736909,302.1148128,20905,21185,21510,21763,22031,22240,22315,22223,22363,22508
Leaside-Bennington,056,56,64000,16535,638,0.03858482,1.04530416,205.327414,0.734894252,Mandarin,0.773208346,0.227094043,16525,665,1020,1225,1285,925,665,705,840,1065,1300,1505,1370,1200,945,685,455,330,250,90,0,0,41.6,44.4,141600,95000,142400,145000,7850,7120,8820,64000,54400,61200,63200,3840,5520,8000,0.724164724,0.275835276,2036000,2000000,1752,1480,232.032,163.4273,234.3979,219.8184,204.8015,174.1182,162.0474,279.7672,183.1299,208.9634247,63.80881,81.71365,17.57984,23.13877,227.5572,174.1182,240.2772,475.6043,475.6043,615.8922119,150.8208,134.2439,222.678,98.33979,130.8454,146.0346,268.2164,156.6696,156.6696,65.9884491,226.2312,175.1007,193.3783,167.7561,193.4236,252.7522,223.5136,218.2184,227.525,269.4528503,0,6,0,0,0,0,0,0,0,0,40.6056,46.87958,75.20102,45.51144,11.23343,44.70273,16.78603,22.19756,64.20358,27.49518776,0,5.836689,0,0,0,0,0,5.595345,5.549389,0,382.8528,204.2841,111.339,254.5265,164.979,258.3689,240.2772,223.8138,366.2597,296.9480286,52.2072,29.18345,17.57984,23.13877,17.06679,39.31701,33.52705,16.78603,16.64817,49.49134064,23.20320129,11.67337908,35.15968323,63.63163035,39.82250467,22.46686185,22.35136255,16.78603454,5.549389464,16.49711248,127.6176071,145.9172385,175.7984162,219.8183594,238.935028,162.8847484,128.5203347,139.8836212,172.0310734,131.9768998,185.6256103,116.7337908,82.03926087,190.8948911,210.4903818,202.2017566,173.2230598,201.4324145,199.7780207,269.4528371,17239,17133,17065,17287,17578,17804,17896,17872,18020,18185
